Animal ID,Name,DateTime,MonthYear,Found Location,Intake Type,Intake Condition,Animal Type,Sex upon Intake,Age upon Intake,Breed,Color
A828255,*Lady Tremaine,1/12/2021 10:59,1/12/2021 10:59,2810 Rio Grande Street in Austin (TX),Stray,Normal,Cat,Intact Female,3 weeks,Domestic Shorthair,Black/White
A828252,*Te Ka,1/12/2021 10:59,1/12/2021 10:59,2810 Rio Grande Street in Austin (TX),Stray,Normal,Cat,Intact Female,3 weeks,Domestic Medium Hair Mix,Brown Tabby/White
A828253,*Kronk,1/12/2021 10:59,1/12/2021 10:59,2810 Rio Grande Street in Austin (TX),Stray,Normal,Cat,Intact Male,3 weeks,Domestic Medium Hair Mix,Brown Tabby
A828268,*Manchester,1/12/2021 10:48,1/12/2021 10:48,5701 Johnny Morris Road in Austin (TX),Stray,Normal,Cat,Intact Male,5 months,Domestic Shorthair Mix,Orange Tabby/White
A828295,Darla,1/12/2021 7:45,1/12/2021 7:45,7201 Levander in Austin (TX),Stray,Injured,Dog,Intact Female,1 month,Labrador Retriever Mix,Black/White
A622498,George,1/11/2021 17:02,1/11/2021 17:02,5608 Cougar Drive in Austin (TX),Public Assist,Normal,Cat,Neutered Male,11 years,Domestic Shorthair Mix,Black
A828248,*Starla,1/11/2021 17:02,1/11/2021 17:02,5608 Cougar Drive in Austin (TX),Public Assist,Normal,Cat,Intact Female,4 years,Domestic Longhair,Brown Tabby/White
A828249,Chico,1/11/2021 16:58,1/11/2021 16:58,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,1 year,Black/Tan Hound Mix,Black/Tan
A692724,Molly,1/11/2021 16:09,1/11/2021 16:09,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,16 years,Chihuahua Shorthair Mix,White
A828244,*Honey,1/11/2021 15:50,1/11/2021 15:50,1000 Springdale Road in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Treeing Cur Mix,Tan/Black
A828241,Tyson,1/11/2021 15:11,1/11/2021 15:11,5510 South Ih 35 in Austin (TX),Stray,Normal,Dog,Intact Male,10 months,Pomeranian Mix,Tan/Black
A828235,,1/11/2021 14:50,1/11/2021 14:50,18018 Fm 969 in Travis (TX),Stray,Normal,Dog,Intact Female,1 year,Labrador Retriever Mix,Black/White
A828234,Baltas,1/11/2021 14:49,1/11/2021 14:49,18018 Fm 969 in Travis (TX),Stray,Normal,Dog,Intact Male,1 year,Great Pyrenees,White
A828240,Shy,1/11/2021 14:38,1/11/2021 14:38,12138 North Lamar in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,German Shepherd Mix,Black/Tan
A828230,,1/11/2021 13:33,1/11/2021 13:33,1200 Paul Teresa Saldana Street in Austin (TX),Stray,Injured,Cat,Intact Male,1 month,Domestic Shorthair,Orange Tabby/White
A828228,,1/11/2021 12:40,1/11/2021 12:40,12302 Deer Falls Drive in Austin (TX),Stray,Normal,Dog,Neutered Male,6 months,Border Terrier,Brown/Tan
A828229,,1/11/2021 12:40,1/11/2021 12:40,12302 Deer Falls Drive in Austin (TX),Stray,Normal,Dog,Spayed Female,10 months,Chihuahua Shorthair,Brown/White
A828227,Bluboy,1/11/2021 12:14,1/11/2021 12:14,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,2 years,Domestic Longhair,Brown Tabby/White
A828224,Bimbo,1/11/2021 11:39,1/11/2021 11:39,Travis (TX),Owner Surrender,Normal,Dog,Intact Male,8 years,Pomeranian Mix,Red/Tan
A828225,Bambi,1/11/2021 11:39,1/11/2021 11:39,Travis (TX),Owner Surrender,Normal,Dog,Intact Female,8 years,Pomeranian Mix,Tan
A828214,,1/11/2021 11:39,1/11/2021 11:39,1100 Cumberland in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Pit Bull/Boxer,Brown/Black
A828216,Margo,1/11/2021 11:39,1/11/2021 11:39,1100 Cumberland in Austin (TX),Stray,Normal,Dog,Intact Female,3 months,Pit Bull/Boxer,Red/White
A828222,*Cleopatra,1/11/2021 11:00,1/11/2021 11:00,2705 Hoeke Lane in Austin (TX),Stray,Normal,Cat,Intact Female,4 years,Domestic Shorthair Mix,Tortie
A828220,*Pika,1/11/2021 11:00,1/11/2021 11:00,2705 Hoeke Lane in Austin (TX),Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair Mix,Orange Tabby
A828217,*Smoke,1/11/2021 11:00,1/11/2021 11:00,2705 Hoeke Lane in Austin (TX),Stray,Normal,Cat,Neutered Male,2 years,Domestic Longhair Mix,Black
A828218,*Mirrors,1/11/2021 11:00,1/11/2021 11:00,2705 Hoeke Lane in Austin (TX),Stray,Normal,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Black
A828221,*Penelope,1/11/2021 11:00,1/11/2021 11:00,2705 Hoeke Lane in Austin (TX),Stray,Normal,Cat,Intact Female,3 years,Domestic Shorthair Mix,Tortie
A828219,*Ferdinand,1/11/2021 11:00,1/11/2021 11:00,2705 Hoeke Lane in Austin (TX),Stray,Normal,Cat,Intact Male,3 years,Domestic Shorthair Mix,Orange Tabby
A828206,Baby,1/11/2021 9:46,1/11/2021 9:46,900 Scenic Drive in Williamson (TX),Public Assist,Normal,Dog,Intact Female,6 months,Flat Coat Retriever Mix,Black/White
A796206,Xena,1/11/2021 9:41,1/11/2021 9:41,4100 Victory Drive in Austin (TX),Public Assist,Normal,Dog,Spayed Female,3 years,German Shepherd,Brown/Black
A828203,,1/11/2021 7:45,1/11/2021 7:45,Running Water And Eudora in Austin (TX),Stray,Injured,Cat,Intact Female,13 years,Domestic Shorthair,Brown Tabby
A828199,,1/11/2021 7:33,1/11/2021 7:33,9500 Dessau Road in Austin (TX),Stray,Injured,Dog,Intact Male,1 year,Siberian Husky,Tan/White
A828198,*Opal,1/10/2021 18:17,1/10/2021 18:17,71 And Highway 30 in Austin (TX),Stray,Normal,Dog,Intact Female,5 years,Pit Bull,Black
A828197,*Yugo,1/10/2021 17:46,1/10/2021 17:46,4803 Teri Road in Austin (TX),Stray,Injured,Dog,Intact Male,8 months,German Shepherd,Black/Tricolor
A828191,*Sanford,1/10/2021 12:46,1/10/2021 12:46,6409 Santos in Austin (TX),Stray,Injured,Dog,Intact Male,8 years,Pit Bull,Brown Brindle/White
A828187,,1/10/2021 11:46,1/10/2021 11:46,4722 Country Club Drive in Lago Vista (TX),Wildlife,Sick,Other,Unknown,1 year,Fox,Gray/Brown
A828186,Olivia,1/10/2021 8:11,1/10/2021 8:11,4434 Frontier Trail in Austin (TX),Owner Surrender,Injured,Dog,Intact Female,3 years,Siberian Husky,Black/White
A828179,,1/9/2021 16:06,1/9/2021 16:06,11112 Real Quiet Drive in Austin (TX),Wildlife,Sick,Other,Unknown,1 year,Raccoon,Black/Gray
A828172,*Sunny,1/9/2021 15:20,1/9/2021 15:20,901 Castleton Drive in Travis (TX),Stray,Normal,Dog,Intact Female,1 year,American Pit Bull Terrier Mix,White/Yellow
A828176,Zeus,1/9/2021 14:16,1/9/2021 14:16,Howard And Mcneil in Travis (TX),Stray,Normal,Dog,Intact Male,4 months,German Shepherd,Black/Tan
A828169,,1/9/2021 12:00,1/9/2021 12:00,5217 Old Spicewood Springs Road in Austin (TX),Public Assist,Normal,Cat,Intact Male,2 years,Domestic Shorthair,Black
A812115,Emilio,1/9/2021 11:02,1/9/2021 11:02,Floral Park Drive And Jollyville Road in Austin (TX),Stray,Injured,Dog,Intact Male,1 year,German Shepherd,Brown/Tricolor
A828165,Lady,1/9/2021 8:52,1/9/2021 8:52,1600 Wickersham Lane in Austin (TX),Public Assist,Normal,Dog,Intact Female,3 months,Boxer,Brown/White
A828164,*Carter,1/9/2021 8:29,1/9/2021 8:29,4434 Frontier Trail in Austin (TX),Owner Surrender,Injured,Dog,Intact Male,2 years,Chihuahua Shorthair/Yorkshire Terrier,Chocolate/Tan
A828160,,1/8/2021 22:57,1/8/2021 22:57,6422 South 183 Highway in Austin (TX),Stray,Normal,Dog,Intact Male,6 months,Labrador Retriever/German Shepherd,Tan
A828158,Odin,1/8/2021 19:01,1/8/2021 19:01,2224 E Stassney in Austin (TX),Stray,Normal,Dog,Intact Male,10 months,Rottweiler Mix,Black/Tan
A828157,,1/8/2021 18:54,1/8/2021 18:54,5613 Manowar in Travis (TX),Stray,Injured,Cat,Neutered Male,3 years,Domestic Shorthair,Black/White
A828153,Mamita,1/8/2021 16:45,1/8/2021 16:45,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,1 year,Pit Bull Mix,White/Gray
A815695,King,1/8/2021 16:30,1/8/2021 16:30,7200 Grand Canyon Drive in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,German Shepherd,Brown
A828147,Maya,1/8/2021 16:26,1/8/2021 16:26,1314 Norwalk Lane in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair,Black
A828152,Steel,1/8/2021 16:25,1/8/2021 16:25,Woodland Village in Austin (TX),Stray,Normal,Dog,Intact Male,3 years,Pit Bull,Blue/White
A828131,,1/8/2021 14:30,1/8/2021 14:30,7200 Grand Canyon Drive in Austin (TX),Stray,Normal,Dog,Intact Female,3 years,German Shepherd,Black/Brown
A828132,,1/8/2021 14:30,1/8/2021 14:30,7200 Grand Canyon Drive in Austin (TX),Stray,Normal,Dog,Intact Male,3 years,German Shepherd,Brown/Black
A828139,Baby,1/8/2021 13:54,1/8/2021 13:54,1137 Gunter Street in Austin (TX),Stray,Normal,Cat,Intact Male,10 years,Domestic Shorthair Mix,Brown Tabby/White
A828129,,1/8/2021 13:11,1/8/2021 13:11,11214 Amethyst in Austin (TX),Stray,Normal,Cat,Intact Male,2 years,Abyssinian,Brown/Black
A828125,Polvoron,1/8/2021 12:07,1/8/2021 12:07,2411 Lakehurst Drive in Austin (TX),Stray,Sick,Cat,Neutered Male,10 years,Domestic Shorthair Mix,Blue Tabby/White
A827800,*Carlo,1/8/2021 11:45,1/8/2021 11:45,Nameless Road And 1431 in Travis (TX),Stray,Normal,Dog,Intact Male,2 years,Australian Cattle Dog Mix,Red Tick/White
A827799,*Monte,1/8/2021 11:45,1/8/2021 11:45,Nameless Road And 1431 in Travis (TX),Stray,Normal,Dog,Intact Male,2 years,Australian Cattle Dog Mix,White/Red Tick
A828124,Obi,1/8/2021 11:42,1/8/2021 11:42,8413 Forest Heights Lane in Austin (TX),Stray,Sick,Cat,Neutered Male,10 years,Domestic Shorthair,Black
A828100,Neme,1/8/2021 10:10,1/8/2021 10:10,8712 Old Manor Road in Austin (TX),Stray,Normal,Dog,Intact Male,1 month,Chihuahua Shorthair,Black
A828117,*Icee,1/8/2021 8:33,1/8/2021 8:33,18005 Basket Flower Bend in Travis (TX),Stray,Normal,Dog,Intact Female,1 year,Border Collie Mix,White
A828116,,1/8/2021 8:28,1/8/2021 8:28,11026 Crossland Drive in Austin (TX),Wildlife,Sick,Other,Unknown,1 year,Fox,Brown/Black
A780360,Pupabella,1/7/2021 19:21,1/7/2021 19:21,2706 Wheless in Austin (TX),Public Assist,Normal,Dog,Spayed Female,3 years,Pit Bull Mix,Blue/White
A827824,*Cowboy,1/7/2021 16:29,1/7/2021 16:29,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,2 months,Pit Bull,Chocolate
A828112,Sunni Hope,1/7/2021 15:57,1/7/2021 15:57,780 Bastrop Highway in Austin (TX),Stray,Normal,Dog,Spayed Female,3 years,Doberman Pinsch Mix,Black/Tan
A828111,Plume,1/7/2021 15:48,1/7/2021 15:48,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,5 years,Domestic Longhair,White/Black
A828113,Ellie,1/7/2021 15:47,1/7/2021 15:47,5700 Blue Bluff Road in Austin (TX),Stray,Normal,Dog,Intact Female,4 years,German Shepherd Mix,Black/Brown
A828109,Layla,1/7/2021 14:54,1/7/2021 14:54,360 And Bee Cave in Austin (TX),Stray,Normal,Dog,Spayed Female,2 years,Basenji Mix,Black/White
A828108,*Phife,1/7/2021 14:54,1/7/2021 14:54,7202 Bethune Avenue in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Pit Bull,Brown Brindle/White
A828107,Luna,1/7/2021 14:35,1/7/2021 14:35,12500 Old San Antonio Road in Travis (TX),Stray,Normal,Dog,Spayed Female,4 years,Great Dane Mix,Black/White
A828106,Asher,1/7/2021 14:35,1/7/2021 14:35,12500 Old San Antonio Road in Travis (TX),Stray,Normal,Dog,Neutered Male,1 year,Labrador Retriever Mix,Black/White
A828098,Bentley,1/7/2021 12:55,1/7/2021 12:55,Coronado Hill Drive in Austin (TX),Stray,Normal,Dog,Neutered Male,2 years,Pit Bull,Gray/White
A828102,Rosa,1/7/2021 12:55,1/7/2021 12:55,Coronado Hill Drive in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Pit Bull,Brown Brindle
A828093,Storm,1/7/2021 11:57,1/7/2021 11:57,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,9 years,Domestic Shorthair Mix,Blue Tabby/White
A828091,*Hall,1/7/2021 11:52,1/7/2021 11:52,13508 Moura Cove in Austin (TX),Wildlife,Normal,Bird,Unknown,1 year,Parakeet,Green/Yellow
A828092,*Oates,1/7/2021 11:52,1/7/2021 11:52,13508 Moura Cove in Austin (TX),Wildlife,Normal,Bird,Unknown,1 year,Parakeet,Green/Yellow
A827138,Fluffers,1/7/2021 11:04,1/7/2021 11:04,Outside Jurisdiction,Owner Surrender,Normal,Cat,Neutered Male,5 years,Domestic Longhair,Blue/White
A828089,Terrance,1/7/2021 10:54,1/7/2021 10:54,Outside Jurisdiction,Owner Surrender,Medical,Cat,Neutered Male,8 months,Domestic Shorthair,White/Brown
A828090,*Zeus,1/7/2021 10:53,1/7/2021 10:53,12506 Burlywood Trail in Austin (TX),Stray,Normal,Cat,Intact Male,4 years,Domestic Longhair Mix,Black
A828082,*Falcor,1/7/2021 7:22,1/7/2021 7:22,11707 Maha Loop in Mustang Ridge (TX),Stray,Injured,Dog,Intact Male,2 years,Anatol Shepherd Mix,Tan
A828076,*Momo,1/6/2021 17:59,1/6/2021 17:59,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,6 months,Domestic Shorthair,Black/White
A828075,*Odessa,1/6/2021 16:56,1/6/2021 16:56,6802 Telluride in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Labrador Retriever Mix,Black
A813147,Augie,1/6/2021 16:31,1/6/2021 16:31,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,2 years,Australian Kelpie Mix,Black/Brown
A828073,*Ernest,1/6/2021 15:55,1/6/2021 15:55,11103 Bruneau Trail in Austin (TX),Stray,Normal,Other,Intact Male,1 year,Rabbit Sh,Black/White
A828074,*Buzzbee,1/6/2021 15:55,1/6/2021 15:55,11103 Bruneau Trail in Austin (TX),Stray,Normal,Other,Neutered Male,1 year,Rabbit Sh,White/Gray
A828072,*Gopher,1/6/2021 15:37,1/6/2021 15:37,14333 Martin Lane in Travis (TX),Stray,Normal,Dog,Intact Male,2 months,Labrador Retriever/Pointer,Black/White
A614394,Ellie,1/6/2021 15:07,1/6/2021 15:07,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,8 years,Domestic Shorthair Mix,Black
A614395,Mya,1/6/2021 15:07,1/6/2021 15:07,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,8 years,Domestic Shorthair Mix,Black/White
A828067,,1/6/2021 13:55,1/6/2021 13:55,8718 Fm 812 in Travis (TX),Stray,Normal,Dog,Intact Male,2 years,Chihuahua Shorthair,Cream/Gold
A828066,Aero,1/6/2021 13:55,1/6/2021 13:55,8718 Fm 812 in Travis (TX),Stray,Normal,Dog,Intact Male,2 years,Papillon/Chihuahua Longhair,White/Tricolor
A828063,Rex,1/6/2021 13:48,1/6/2021 13:48,901 West Ben White Service Road in Austin (TX),Public Assist,Normal,Dog,Neutered Male,3 years,Chihuahua Shorthair,Brown/Tan
A828061,Sally,1/6/2021 13:48,1/6/2021 13:48,901 West Ben White Service Road in Austin (TX),Public Assist,Normal,Dog,Intact Female,2 years,Lhasa Apso/Miniature Poodle,Gray/Black
A828070,*Tucker,1/6/2021 13:35,1/6/2021 13:35,2510 Baxter Drive in Austin (TX),Stray,Normal,Dog,Intact Male,2 months,Labrador Retriever Mix,Black/White
A828068,Binky,1/6/2021 13:03,1/6/2021 13:03,2125 West Ben White Boulevard in Austin (TX),Public Assist,Normal,Dog,Intact Female,2 years,Miniature Poodle/Maltese,Black
A828065,Elliot,1/6/2021 13:03,1/6/2021 13:03,2125 West Ben White Boulevard in Austin (TX),Public Assist,Normal,Dog,Intact Male,2 years,Miniature Poodle/Maltese,Black
A777512,Envy,1/6/2021 12:45,1/6/2021 12:45,7537  Redrick Drive in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Siberian Husky/German Shepherd,Black/Tan
A828059,*Bernadette,1/6/2021 12:28,1/6/2021 12:28,Brook Valley Drive And Crystalbrook Drive in Austin (TX),Stray,Normal,Dog,Intact Female,5 years,German Shepherd Mix,Sable
A826013,*Sweet Potato,1/6/2021 11:28,1/6/2021 11:28,Travis (TX),Owner Surrender,Normal,Other,Intact Male,2 years,Rabbit Sh,Brown
A828057,,1/6/2021 9:53,1/6/2021 9:53,109 Denson in Austin (TX),Stray,Nursing,Other,Unknown,1 day,Hamster,Tan
A828052,,1/6/2021 9:53,1/6/2021 9:53,109 Denson in Austin (TX),Stray,Nursing,Other,Unknown,1 day,Hamster,Tan
A828053,,1/6/2021 9:53,1/6/2021 9:53,109 Denson in Austin (TX),Stray,Nursing,Other,Unknown,1 day,Hamster,Tan
A828056,,1/6/2021 9:53,1/6/2021 9:53,109 Denson in Austin (TX),Stray,Nursing,Other,Unknown,1 day,Hamster,Tan
A828054,,1/6/2021 9:53,1/6/2021 9:53,109 Denson in Austin (TX),Stray,Nursing,Other,Unknown,1 day,Hamster,Tan
A828055,,1/6/2021 9:53,1/6/2021 9:53,109 Denson in Austin (TX),Stray,Nursing,Other,Unknown,1 day,Hamster,Tan
A828051,,1/6/2021 9:53,1/6/2021 9:53,109 Denson in Austin (TX),Stray,Nursing,Other,Unknown,1 day,Hamster,Tan
A828048,*Dolly,1/6/2021 9:36,1/6/2021 9:36,744 W William Cannon in Austin (TX),Stray,Sick,Dog,Spayed Female,6 years,Labrador Retriever/Black/Tan Hound,Black
A828047,Muddy,1/6/2021 8:53,1/6/2021 8:53,2901 Montopolis Drive in Austin (TX),Stray,Normal,Cat,Intact Female,2 years,Domestic Shorthair,Black/White
A828045,Kash,1/5/2021 23:01,1/5/2021 23:01,11011 Jordan in Austin (TX),Stray,Injured,Dog,Intact Male,2 years,Pit Bull,Brown/White
A828042,,1/5/2021 20:43,1/5/2021 20:43,109 Denson in Austin (TX),Stray,Normal,Other,Intact Female,1 year,Hamster,White
A828037,,1/5/2021 20:43,1/5/2021 20:43,109 Denson in Austin (TX),Stray,Normal,Other,Intact Male,1 year,Hamster,White
A828036,,1/5/2021 20:43,1/5/2021 20:43,109 Denson in Austin (TX),Stray,Normal,Other,Intact Male,2 months,Hamster,White
A828041,,1/5/2021 20:43,1/5/2021 20:43,109 Denson in Austin (TX),Stray,Normal,Other,Intact Female,2 months,Hamster,White
A828038,,1/5/2021 20:43,1/5/2021 20:43,109 Denson in Austin (TX),Stray,Normal,Other,Intact Female,2 months,Hamster,White
A828043,,1/5/2021 20:43,1/5/2021 20:43,109 Denson in Austin (TX),Stray,Normal,Other,Intact Male,2 months,Hamster,White
A828044,,1/5/2021 20:43,1/5/2021 20:43,109 Denson in Austin (TX),Stray,Normal,Other,Intact Male,2 months,Hamster,Tan
A828040,,1/5/2021 20:43,1/5/2021 20:43,109 Denson in Austin (TX),Stray,Normal,Other,Intact Female,2 months,Hamster,Tan
A828039,*Hamtaro,1/5/2021 20:43,1/5/2021 20:43,109 Denson in Austin (TX),Stray,Normal,Other,Intact Male,2 months,Hamster,Tan
A828035,,1/5/2021 18:35,1/5/2021 18:35,Outside Jurisdiction,Stray,Normal,Dog,Intact Female,5 months,Labrador Retriever/Collie Smooth,Brown/White
A828034,Xanthippe,1/5/2021 18:35,1/5/2021 18:35,Outside Jurisdiction,Stray,Normal,Dog,Intact Female,2 years,Labrador Retriever Mix,Black/White
A828030,Socks,1/5/2021 17:09,1/5/2021 17:09,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,1 year,Domestic Shorthair,Black/White
A828027,Sunshine,1/5/2021 16:24,1/5/2021 16:24,2504 Sanders Street in Austin (TX),Stray,Normal,Dog,Intact Female,1 month,Chinese Sharpei/German Shepherd,Brown/Black
A828021,Hax,1/5/2021 16:23,1/5/2021 16:23,12117 Manchaca Road in Austin (TX),Stray,Injured,Dog,Intact Female,11 years,Siberian Husky,Black/White
A828020,*Clark Kent,1/5/2021 15:47,1/5/2021 15:47,1006 East 49Th Street in Austin (TX),Stray,Injured,Cat,Intact Male,2 years,Domestic Shorthair,Black
A828026,*Simon,1/5/2021 15:36,1/5/2021 15:36,Tom Miller Street At Antone Street in Austin (TX),Stray,Normal,Cat,Intact Male,1 year,Domestic Shorthair,Brown Tabby
A827249,*Tofu,1/5/2021 15:10,1/5/2021 15:10,8652 Nuckols Crossing Road in Austin (TX),Stray,Normal,Dog,Neutered Male,2 years,Boxer,Brown/White
A828023,,1/5/2021 14:52,1/5/2021 14:52,5017 West Highway 290 in Austin (TX),Stray,Normal,Bird,Unknown,1 year,Chicken,Brown
A828022,,1/5/2021 14:52,1/5/2021 14:52,5017 West Highway 290 in Austin (TX),Stray,Normal,Bird,Unknown,1 year,Chicken,Brown
A828017,Noodle,1/5/2021 14:30,1/5/2021 14:30,East Riverside Drive At Wickersham Lane in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Chihuahua Shorthair/Dachshund,Fawn/White
A827992,Luna,1/5/2021 14:29,1/5/2021 14:29,7203 Bennet Avenue in Austin (TX),Stray,Normal,Dog,Intact Female,1 month,Catahoula Mix,White/Tan
A827990,*Sky,1/5/2021 14:28,1/5/2021 14:28,7203 Bennet Avenue in Austin (TX),Stray,Normal,Dog,Intact Female,5 months,German Shorthair Pointer/American Pit Bull Terrier,Liver/Blue
A828018,,1/5/2021 13:35,1/5/2021 13:35,412 Hackberry Lane in Austin (TX),Stray,Sick,Dog,Unknown,2 years,German Shepherd Mix,Tan
A822336,*Mali,1/5/2021 12:49,1/5/2021 12:49,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,5 months,British Shorthair Mix,Brown Tabby/White
A828016,,1/5/2021 12:17,1/5/2021 12:17,Ponca Street in Austin (TX),Stray,Normal,Dog,Intact Male,1 month,Labrador Retriever,Black/White
A828014,,1/5/2021 12:17,1/5/2021 12:17,Ponca Street in Austin (TX),Stray,Normal,Dog,Intact Female,1 month,Labrador Retriever,White/Black
A828015,,1/5/2021 12:17,1/5/2021 12:17,Ponca Street in Austin (TX),Stray,Normal,Dog,Intact Female,1 month,Labrador Retriever,White/Black
A827998,*Louise,1/5/2021 11:07,1/5/2021 11:07,Quicksilver And Bluff Springs in Austin (TX),Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair Mix,Brown Tabby
A827997,*Tina,1/5/2021 11:07,1/5/2021 11:07,Quicksilver And Bluff Springs in Austin (TX),Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair Mix,Tortie
A827991,*Seymour,1/5/2021 9:58,1/5/2021 9:58,12118 Walnut Park Crossing in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Scottish Terrier/Dachshund,Tan
A827989,Max,1/5/2021 9:54,1/5/2021 9:54,212 West Murray Avenue in Manor (TX),Stray,Normal,Dog,Intact Male,7 years,Shih Tzu/French Bulldog,White/Black
A827987,Jazz,1/5/2021 8:19,1/5/2021 8:19,4434 Frontier Trail in Austin (TX),Owner Surrender,Injured,Dog,Intact Female,1 year,Labrador Retriever/Australian Kelpie,Black
A827986,Toro,1/5/2021 8:03,1/5/2021 8:03,5920 Diamondleaf Bend in Austin (TX),Owner Surrender,Sick,Dog,Intact Male,1 year,Chihuahua Shorthair,Black
A827976,,1/5/2021 7:48,1/5/2021 7:48,8201 Riverstone Drive in Austin (TX),Stray,Sick,Dog,Intact Female,2 months,Chihuahua Shorthair,White/Brown
A827969,,1/4/2021 17:00,1/4/2021 17:00,715 East 8Th Street in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Pointer/Australian Cattle Dog,White/Brown Brindle
A827973,,1/4/2021 16:59,1/4/2021 16:59,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,4 months,Basset Hound Mix,White/Black
A827972,*Owen,1/4/2021 16:59,1/4/2021 16:59,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,2 months,Pointer Mix,White/Blue Tick
A827968,,1/4/2021 16:46,1/4/2021 16:46,700 Lavaca in Austin (TX),Wildlife,Normal,Other,Unknown,2 years,Bat,Brown
A827967,,1/4/2021 16:33,1/4/2021 16:33,10307 Georgian Drive in Austin (TX),Stray,Aged,Cat,Spayed Female,10 years,Domestic Longhair,Brown Tabby/White
A827956,*Bluebell,1/4/2021 16:02,1/4/2021 16:02,11881 Jollyville Road in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Pit Bull,Blue/White
A827954,,1/4/2021 15:56,1/4/2021 15:56,6014 Jacqueline Lane in Travis (TX),Stray,Normal,Dog,Intact Female,2 years,Labrador Retriever/German Shepherd,Brown
A827955,*Cheerio,1/4/2021 15:54,1/4/2021 15:54,14301 North Ih 35 in Travis (TX),Stray,Normal,Other,Intact Male,2 years,Rabbit Sh,Tan
A827953,*Bunny,1/4/2021 14:55,1/4/2021 14:55,Mckinney Falls And Colton Bluff in Austin (TX),Stray,Normal,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,White/Black
A827936,,1/4/2021 13:36,1/4/2021 13:36,Leisure Drive in Austin (TX),Stray,Normal,Dog,Intact Male,10 months,Miniature Schnauzer Mix,Black
A827867,,1/4/2021 11:53,1/4/2021 11:53,4601 Depew Avenue in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Chihuahua Shorthair/Dachshund,Black/Brown Brindle
A827933,Lady Bird,1/4/2021 10:11,1/4/2021 10:11,906 Possum Trot Street in Austin (TX),Public Assist,Normal,Dog,Spayed Female,8 years,Jack Russell Terrier/Rat Terrier,Black/White
A823661,Apollo Buddy,1/3/2021 21:22,1/3/2021 21:22,15207 Tacon Lane in Pflugerville (TX),Stray,Normal,Dog,Intact Male,1 year,Dachshund/Chihuahua Shorthair,Brown
A827917,,1/3/2021 17:03,1/3/2021 17:03,1128 Spur in Austin (TX),Stray,Sick,Cat,Unknown,2 years,Domestic Shorthair,Black
A827914,Coco Bean,1/3/2021 16:19,1/3/2021 16:19,2508 West Riverside in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Boxer,Brown/White
A827909,,1/3/2021 15:22,1/3/2021 15:22,700 Congress Avenue in Austin (TX),Wildlife,Injured,Other,Unknown,1 year,Bat,Brown
A827910,*Barkley,1/3/2021 15:02,1/3/2021 15:02,2404 North Shields in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Chihuahua Shorthair,Brown
A827906,*Mr Spock,1/3/2021 12:18,1/3/2021 12:18,1032 East 46Th Street in Austin (TX),Stray,Normal,Dog,Neutered Male,2 years,Blue Lacy Mix,Brown
A773909,Rocky,1/3/2021 11:20,1/3/2021 11:20,8207 Sam Rayburn Drive in Austin (TX),Stray,Normal,Dog,Intact Male,3 years,Staffordshire Mix,Fawn/Tricolor
A827898,*Charlie,1/3/2021 9:04,1/3/2021 9:04,1511 Faro Drive in Austin (TX),Stray,Normal,Dog,Intact Female,4 months,Border Collie/Australian Cattle Dog,White/Black
A827897,*Andromeda,1/3/2021 8:44,1/3/2021 8:44,1215 West Slaughter Lane in Austin (TX),Stray,Normal,Dog,Intact Female,1 month,Rottweiler,Black/Tan
